id,resolved,query_used,lightkurve_id,mission,exptime,results_count,match_type,attempts
11270200,yes,TIC 11270200,11270200,TESS Sector 92,120.0,6,exact,TIC 11270200:ok:6
55871761,yes,TIC 55871761,55871761,TESS Sector 07,1800.0,10,exact,TIC 55871761:ok:10
68952448,yes,TIC 68952448,68952448,TESS Sector 92,20.0,3,exact,TIC 68952448:ok:3
71841620,yes,TIC 71841620,71841620,TESS Sector 92,120.0,2,exact,TIC 71841620:ok:2
76835246,yes,TIC 76835246,76835246,TESS Sector 92,120.0,2,exact,TIC 76835246:ok:2
77202722,yes,TIC 77202722,77202722,TESS Sector 92,120.0,2,exact,TIC 77202722:ok:2
85293053,yes,TIC 85293053,85293053,TESS Sector 21,120.0,6,exact,TIC 85293053:ok:6
110795273,yes,TIC 110795273,110795273,TESS Sector 07,1800.0,10,exact,TIC 110795273:ok:10
122706449,yes,TIC 122706449,122706449,TESS Sector 74,120.0,7,exact,TIC 122706449:ok:7
126325985,yes,TIC 126325985,126325985,TESS Sector 92,120.0,2,exact,TIC 126325985:ok:2
153949511,yes,TIC 153949511,153949511,TESS Sector 15,120.0,29,exact,TIC 153949511:ok:29
160075684,yes,TIC 160075684,160075684,TESS Sector 14,120.0,49,exact,TIC 160075684:ok:49
161687211,yes,TIC 161687211,161687211,TESS Sector 76,120.0,15,exact,TIC 161687211:ok:15
165598669,yes,TIC 165598669,165598669,TESS Sector 76,120.0,13,exact,TIC 165598669:ok:13
167804011,yes,TIC 167804011,167804011,TESS Sector 90,120.0,10,exact,TIC 167804011:ok:10
177697418,yes,TIC 177697418,177697418,TESS Sector 17,1800.0,3,exact,TIC 177697418:ok:3
188500604,yes,TIC 188500604,188500604,TESS Sector 42,120.0,3,exact,TIC 188500604:ok:3
198178859,yes,TIC 198178859,198178859,TESS Sector 15,120.0,78,exact,TIC 198178859:ok:78
201175570,yes,TIC 201175570,201175570,TESS Sector 69,120.0,24,exact,TIC 201175570:ok:24
207425167,yes,TIC 207425167,207425167,TESS Sector 22,120.0,57,exact,TIC 207425167:ok:57
210904767,yes,TIC 210904767,210904767,TESS Sector 12,120.0,14,exact,TIC 210904767:ok:14
224603921,yes,TIC 224603921,224603921,TESS Sector 14,120.0,125,exact,TIC 224603921:ok:125
233194447,yes,TIC 233194447,233194447,TESS Sector 14,120.0,112,exact,TIC 233194447:ok:112
238004786,yes,TIC 238004786,238004786,TESS Sector 02,120.0,75,exact,TIC 238004786:ok:75
244161191,yes,TIC 244161191,244161191,TESS Sector 03,120.0,18,exact,TIC 244161191:ok:18
248250955,yes,TIC 248250955,248250955,TESS Sector 12,120.0,11,exact,TIC 248250955:ok:11
251090642,yes,TIC 251090642,251090642,TESS Sector 47,120.0,8,exact,TIC 251090642:ok:8
258776466,yes,TIC 258776466,258776466,TESS Sector 14,120.0,115,exact,TIC 258776466:ok:115
259151170,yes,TIC 259151170,259151170,TESS Sector 58,120.0,6,exact,TIC 259151170:ok:6
259238498,yes,TIC 259238498,259238498,TESS Sector 14,120.0,142,exact,TIC 259238498:ok:142
263723967,yes,TIC 263723967,263723967,TESS Sector 25,1800.0,6,exact,TIC 263723967:ok:6
